,Отметка времени,Сколько вам лет?,Какие у вас источники дохода?,"Клиентом какого банка вы являетесь (если нескольких, то укажите всех)?",Пользуетесь ли вы кредитной картой?,Сколько банковских карт вы имеете?
209,2020/03/25 1:30:21 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Другой,"Не пользуюсь, не хочу открывать",2.0
210,2020/03/25 1:35:14 PM GMT+3,18-20,Зарплата;Другое,Сбербанк;Другой,"Не пользуюсь, не хочу открывать",4.0
211,2020/03/25 1:35:51 PM GMT+3,18-20,Другое,Другой,"Пользуюсь, буду продолжать",1.0
212,2020/03/25 1:43:18 PM GMT+3,18-20,Другое,Сбербанк,"Пользуюсь, буду продолжать",2.0
213,2020/03/25 2:50:01 PM GMT+3,больше,Другое,Сбербанк;Unicredit Bank,"Не пользуюсь, не хочу открывать",1.0
214,2020/03/25 3:18:44 PM GMT+3,24-26,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.);Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;Альфа-Банк;Другой,"Пользуюсь, планирую закрыть",5.0
215,2020/03/25 3:26:14 PM GMT+3,больше,Зарплата,Сбербанк;Альфа-Банк,"Пользуюсь, планирую закрыть",3.0
216,2020/03/25 3:44:01 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Другой,"Пользуюсь, буду продолжать",1.0
217,2020/03/25 3:52:16 PM GMT+3,больше,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Сбербанк;Тинькофф;Другой,"Не пользуюсь, не хочу открывать",3.0
218,2020/03/25 3:58:41 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Другой,"Не пользуюсь, не хочу открывать",1.0
219,2020/03/25 4:11:48 PM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Другой,"Пользуюсь, буду продолжать",1.0
220,2020/03/25 4:14:41 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;Альфа-Банк;Другой,"Не пользуюсь, не хочу открывать",4.0
221,2020/03/25 4:51:23 PM GMT+3,больше,Другое,Тинькофф,"Пользуюсь, буду продолжать",2.0
222,2020/03/25 5:45:54 PM GMT+3,24-26,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Альфа-Банк,"Пользуюсь, буду продолжать",3.0
223,2020/03/25 6:11:07 PM GMT+3,больше,Зарплата,Сбербанк,"Не пользуюсь, не хочу открывать",1.0
