,Отметка времени,Сколько вам лет?,Какие у вас источники дохода?,"Клиентом какого банка вы являетесь (если нескольких, то укажите всех)?",Пользуетесь ли вы кредитной картой?,Сколько банковских карт вы имеете?
80,2020/03/25 12:44:24 AM GMT+3,21-23,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
81,2020/03/25 12:47:54 AM GMT+3,18-20,Стипендия,Сбербанк,"Не пользуюсь, не хочу открывать",1.0
82,2020/03/25 12:50:08 AM GMT+3,18-20,"Стипендия;Доход от инвестиций (вклады, ценные бумаги и т.д.);Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;ВТБ,"Пользуюсь, буду продолжать",2.0
83,2020/03/25 12:55:22 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",ВТБ;Другой,"Пользуюсь, буду продолжать",3.0
84,2020/03/25 12:56:29 AM GMT+3,18-20,Стипендия,Сбербанк;Тинькофф;ВТБ,"Пользуюсь, буду продолжать",3.0
85,2020/03/25 1:00:40 AM GMT+3,меньше,Другое,Сбербанк,"Пользуюсь, буду продолжать",2.0
86,2020/03/25 1:01:19 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",3.0
87,2020/03/25 1:02:44 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
88,2020/03/25 1:04:46 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",2.0
89,2020/03/25 1:23:54 AM GMT+3,меньше,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",5.0
90,2020/03/25 1:26:36 AM GMT+3,21-23,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Другой,"Не пользуюсь, не хочу открывать",2.0
91,2020/03/25 1:33:54 AM GMT+3,24-26,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",3.0
92,2020/03/25 1:35:48 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Тинькофф;ВТБ,"Пользуюсь, буду продолжать",2.0
93,2020/03/25 1:38:44 AM GMT+3,18-20,"Доход от инвестиций (вклады, ценные бумаги и т.д.);Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Пользуюсь, буду продолжать",2.0
94,2020/03/25 1:46:41 AM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",2.0
95,2020/03/25 2:01:56 AM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
96,2020/03/25 2:31:30 AM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ;Другой,"Не пользуюсь, не хочу открывать",3.0
97,2020/03/25 2:33:28 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",3.0
98,2020/03/25 2:57:12 AM GMT+3,24-26,Зарплата,Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",5.0
99,2020/03/25 3:10:23 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, буду продолжать",3.0
100,2020/03/25 3:25:04 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",2.0
101,2020/03/25 4:38:20 AM GMT+3,больше,Зарплата,Сбербанк;РокетБанк,"Не пользуюсь, не хочу открывать",2.0
102,2020/03/25 4:48:50 AM GMT+3,больше,Зарплата,Тинькофф,"Не пользуюсь, не хочу открывать",2.0
103,2020/03/25 5:44:53 AM GMT+3,больше,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Тинькофф;РокетБанк,"Не пользуюсь, не хочу открывать",2.0
104,2020/03/25 5:56:46 AM GMT+3,больше,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Альфа-Банк;Другой,"Не пользуюсь, не хочу открывать",3.0
105,2020/03/25 6:31:10 AM GMT+3,21-23,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк,"Пользуюсь, буду продолжать",2.0
106,2020/03/25 6:33:30 AM GMT+3,21-23,Стипендия,Сбербанк,"Пользуюсь, буду продолжать",1.0
107,2020/03/25 6:34:39 AM GMT+3,18-20,Стипендия;Зарплата,Сбербанк,"Не пользуюсь, не хочу открывать",2.0
108,2020/03/25 6:37:51 AM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",3.0
109,2020/03/25 6:49:23 AM GMT+3,18-20,Стипендия;Зарплата,Сбербанк;Другой,"Не пользуюсь, не хочу открывать",2.0
110,2020/03/25 6:54:29 AM GMT+3,18-20,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, планирую закрыть",2.0
111,2020/03/25 6:55:02 AM GMT+3,меньше,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, буду продолжать",1.0
112,2020/03/25 6:56:59 AM GMT+3,21-23,Стипендия,Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",4.0
113,2020/03/25 7:01:07 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",2.0
114,2020/03/25 7:08:12 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Другой,"Не пользуюсь, не хочу открывать",1.0
115,2020/03/25 7:09:34 AM GMT+3,21-23,Стипендия;Зарплата,Другой,"Не пользуюсь, не хочу открывать",1.0
116,2020/03/25 7:11:52 AM GMT+3,24-26,Зарплата;Другое,Сбербанк,"Не пользуюсь, не хочу открывать",2.0
117,2020/03/25 7:13:27 AM GMT+3,больше,Зарплата;Другое,Сбербанк,"Пользуюсь, буду продолжать",2.0
118,2020/03/25 7:18:37 AM GMT+3,больше,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.);Другое",Сбербанк;Другой,"Пользуюсь, буду продолжать",2.0
119,2020/03/25 7:24:13 AM GMT+3,24-26,Зарплата,Сбербанк,"Не пользуюсь, не хочу открывать",2.0
120,2020/03/25 7:47:44 AM GMT+3,21-23,Стипендия,Сбербанк;Другой,"Пользуюсь, буду продолжать",2.0
121,2020/03/25 7:49:44 AM GMT+3,21-23,Стипендия;Зарплата,Сбербанк;Тинькофф;Райффайзен банк,"Пользуюсь, буду продолжать",4.0
122,2020/03/25 7:50:31 AM GMT+3,21-23,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",2.0
123,2020/03/25 7:55:51 AM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Альфа-Банк,"Не пользуюсь, не хочу открывать",1.0
124,2020/03/25 7:59:12 AM GMT+3,больше,"Доход от инвестиций (вклады, ценные бумаги и т.д.);Другое",Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",2.0
125,2020/03/25 8:04:49 AM GMT+3,больше,"Доход от инвестиций (вклады, ценные бумаги и т.д.)",ВТБ,"Не пользуюсь, не хочу открывать",2.0
126,2020/03/25 8:05:01 AM GMT+3,больше,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
127,2020/03/25 8:14:42 AM GMT+3,18-20,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",2.0
128,2020/03/25 8:27:19 AM GMT+3,24-26,Зарплата,Сбербанк,"Не пользуюсь, не хочу открывать",2.0
129,2020/03/25 8:33:14 AM GMT+3,21-23,Зарплата,Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",3.0
130,2020/03/25 8:39:42 AM GMT+3,24-26,Зарплата,Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
131,2020/03/25 8:41:07 AM GMT+3,больше,Зарплата,Альфа-Банк,"Не пользуюсь, не хочу открывать",1.0
132,2020/03/25 8:45:21 AM GMT+3,больше,Другое,Сбербанк;Тинькофф;Другой,"Не пользуюсь, не хочу открывать",2.0
133,2020/03/25 8:46:36 AM GMT+3,21-23,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",2.0
134,2020/03/25 8:57:02 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ;Другой,"Не пользуюсь, не хочу открывать",3.0
135,2020/03/25 8:59:42 AM GMT+3,больше,Зарплата,Сбербанк,"Не пользуюсь, не хочу открывать",2.0
136,2020/03/25 9:14:42 AM GMT+3,больше,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;Альфа-Банк,"Пользуюсь, планирую закрыть",5.0
137,2020/03/25 9:20:29 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
138,2020/03/25 9:31:12 AM GMT+3,больше,Зарплата,Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",2.0
139,2020/03/25 9:31:58 AM GMT+3,21-23,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",2.0
140,2020/03/25 9:39:20 AM GMT+3,больше,Зарплата,Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",2.0
141,2020/03/25 9:39:52 AM GMT+3,больше,Другое,Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",3.0
142,2020/03/25 9:41:01 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",2.0
143,2020/03/25 9:42:54 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Пользуюсь, буду продолжать",2.0
144,2020/03/25 9:48:02 AM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",2.0
145,2020/03/25 9:51:39 AM GMT+3,больше,Зарплата,Райффайзен банк;Альфа-Банк,"Не пользуюсь, не хочу открывать",6.0
146,2020/03/25 9:51:49 AM GMT+3,21-23,Зарплата,Сбербанк,"Не пользуюсь, не хочу открывать",2.0
147,2020/03/25 9:55:36 AM GMT+3,больше,Зарплата,Сбербанк;Тинькофф;Альфа-Банк,"Не пользуюсь, не хочу открывать",2.0
148,2020/03/25 9:59:02 AM GMT+3,больше,Другое,Сбербанк;Тинькофф;Альфа-Банк;Unicredit Bank,"Не пользуюсь, хочу открыть",2.0
149,2020/03/25 10:00:35 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",3.0
150,2020/03/25 10:08:37 AM GMT+3,18-20,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",3.0
151,2020/03/25 10:09:20 AM GMT+3,больше,Зарплата;Другое,Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",6.0
152,2020/03/25 10:13:51 AM GMT+3,21-23,Стипендия,Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",1.0
153,2020/03/25 10:14:02 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.;Другое",ВТБ;Альфа-Банк,"Не пользуюсь, не хочу открывать",2.0
154,2020/03/25 10:17:49 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ;Другой,"Не пользуюсь, не хочу открывать",4.0
155,2020/03/25 10:19:04 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
156,2020/03/25 10:23:03 AM GMT+3,21-23,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",3.0
157,2020/03/25 10:36:08 AM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",2.0
158,2020/03/25 10:39:25 AM GMT+3,21-23,Стипендия;Зарплата,Сбербанк;Другой,"Не пользуюсь, не хочу открывать",4.0
159,2020/03/25 10:45:16 AM GMT+3,18-20,Другое,Сбербанк;РокетБанк,"Пользуюсь, планирую закрыть",2.0
160,2020/03/25 11:12:02 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, буду продолжать",2.0
161,2020/03/25 11:12:46 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
162,2020/03/25 11:41:43 AM GMT+3,больше,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Сбербанк;Тинькофф;Другой,"Не пользуюсь, не хочу открывать",3.0
163,2020/03/25 11:51:55 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",2.0
164,2020/03/25 11:52:06 AM GMT+3,21-23,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк,"Пользуюсь, буду продолжать",1.0
165,2020/03/25 11:57:10 AM GMT+3,больше,Зарплата;Другое,Сбербанк;Тинькофф;РокетБанк,"Не пользуюсь, не хочу открывать",3.0
166,2020/03/25 12:02:43 PM GMT+3,24-26,Зарплата,Другой,"Не пользуюсь, не хочу открывать",3.0
167,2020/03/25 12:07:17 PM GMT+3,21-23,"Стипендия;Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Другой,"Пользуюсь, буду продолжать",1.0
168,2020/03/25 12:07:26 PM GMT+3,18-20,Стипендия,Другой,"Не пользуюсь, не хочу открывать",1.0
169,2020/03/25 12:09:10 PM GMT+3,18-20,Стипендия,Другой,"Пользуюсь, буду продолжать",1.0
